ticercosis "es una enfermedad del sistema nervioso central de origen parasitario que genera una alta morbilidad"
latido "Movimiento diferenciado en el ritmo de contracción y dilatación del corazón y las arterias"
macular "Ensuciar una cosa dejando una mácula"
maligna "Que tiende a hacer daño y desea el mal de otras personas o se alegra de él"
medicamentos "Cualquier sustancia, natural o sintética que se destine al ser humano con fines de curación"
monitorización "Acción de monitorizar"
obesidad "Estado patológico que se caracteriza por un exceso o una acumulación excesiva y general de grasa en el cuerpo"
palpación "Palpamiento, en especial el que se realiza como método exploratorio de diagnóstico médico"
presión "Acción de apretar o presionar"
procedimientos "Método o modo de tramitar o ejecutar una cosa"
pseudohipertensión "Presencia persistente de cifras tensionales elevadas"
retiniano "De la retina o relacionado con esta membrana ocular"
retinopatía "Enfermedad no inflamatoria de la retina"
retroperitoneales "Trata de lo perteneciente a órganos estrechamente unidos a la pared abdominal posterior"
siológica "Posibilidad de que se produzca un contratiempo o una desgracia, de que alguien o algo sufra perjuicio o daño"
sistólica "De la sístole o relacionado con este movimiento del corazón"
suprarrenales "Glándula endocrina situada encima de los riñones que produce hormonas que regulan el metabolismo y el equilibrio de líquidos"
telerradiografía "Realización de radiografías, con larga distancia entre el foco o tubo emisor y el objeto"
tensiómetro "Instrumento para medir las tensiones superficiales"
triglicéridos "tipo de grasa presente en la sangre"
ultrasonido "Vibración mecánica de frecuencia superior a la de las que puede percibir el oído"
﻿vigabatrina "es un agente antiepiléptico que inhibe el catabolismo del GABA por inhibición de la transaminasa GABA"
vulvovaginitis "es una infección, inflamación o irritación de la vulva, la vagina o ambas"
ecocardiograma "Gráfico que registra la posición y los movimientos del corazón mediante ondas ultrasónicas"
fisiopatológicamente "Parte de la biología que estudia el funcionamiento de un organismo o de un tejido durante el curso de una enfermedad"
toxoplasmosis "Enfermedad causada por protozos que se presenta en diversos mamíferos"
tripanosomiosis "Enfermedad infecciosa provocada por protozoos parásitos del género Trypanosoma"
esquistosomiosis "es una enfermedad parasitaria producida por gusanos platelmintos de la clase trematodos del género Schistosoma"
triquinosis "Enfermedad parasitaria provocada por la invasión de las larvas de triquina en los músculos del organismo"
estreptoquinasa "La plasmina se produce en la sangre con el fin de degradar los principales componentes de los coágulos sanguíneos y fibrina"
amiodarona "La amiodarona es un agente antiarrítmico usado en varios tipos de taquiarritmias tanto ventriculares como supraventriculares"
tromboembolismo "Tromboembolismo es una situación clínica"
amiloide "sustancia que es rico en azúcar y se deposita en un tejido durante la amilosis"
heparina "Sustancia anticoagulante natural que existe normalmente en todos los tejidos del cuerpo humano, especialmente en el hígado"
teratogénicos "Un agente teratogénico es una sustancia, agente físico u organismo capaz de provocar un defecto congénito"
warfarina "La warfarina pertenece a una clase de medicamentos llamados anticoagulantes"
plasminógeno "El plasminógeno o profibrinolisina​ es una glucoproteína sintetizada por el hígado"
xantelasmas "es un término médico usado para denominar a pequeños tumores benignos o levantamientos grasos"
trazodona "es un fármaco antidepresivo de segunda generación del grupo químico de las fenilpiperazinas"
somatomorfos "es la presencia de síntomas físicos que sugieren una enfermedad médica y que no pueden explicarse"
tigeciclina "Tigeciclina es el primero de una nueva familia de antibacterianos de amplio espectro, las glicilciclinas"
tenofovir "enofovir es un medicamento antiviral que se emplea para el tratamiento de la infección por el virus de la inmunodeficiencia humana"
talidomida "es un fármaco que fue comercializado entre los años 1957 y 1963 como sedante"
sulfonilureas "Las sulfonilureas son medicamentos pertenecientes a la clase de antidiabéticos orales"
sulfasalazina "La sulfasalazina fue desarrollada en los años 30 para tratar la artritis reumatoide"
rivastigmina "La rivastigmina es un fármaco colinérgico, inhibidor de la acetilcolinesterasa"
simpaticolíticos "Sustancia que inhibe, parcial o completamente, los efectos de la estimulación del sistema nervioso simpático"
repaglinida "un agente antidiabético diabetes de tipo 2 comercializado por Novo Nordisk"
raloxifeno "Medicamento que se usa para reducir el riesgo de un cáncer de mama invasor en mujeres posmenopáusicas"
nifurtimox "Nifurtimox es un 5-nitrofurano​ comercialmente distribuido como Lampit"
olanzapina "La olanzapina es estructuralmente similar a la clozapina, y se clasifica como una tienobenzodiazepina"
﻿meningitis "infección caracterizada por la inflamación de las meninges"
pacientes "personas enfermas que son atendidas por profesionales de la salud"
colitis "referencia a cualquier proceso inflamatorio que afecta al colon"
ADN "ácido nucléico que contiene las instrucciones genéticas usada en el desarrollo y funcionamiento de todos los organismos vivos"
anemia "cantidad disminuida de glóbulos rojos"
eritrocitarios "también llamados glóbulos rojos o hematíes son las célular más numerosas de la sangre"
membrana "elemento en la interfaz de una célula con su medio exterior"
hemoglobina "pigmento rojo contenido en los hematies de la sandre cuya función consiste en captar el oxígeno de los alveolos pulmonares"
genes "unidad de información en un locus de ADN que codifica un producto funcional"
retina "tejido sensible a la luz situado en la superficie interior del ojo"
colesterol "esterol que se encuentra en los tejidos corporales y en el plasma sanguíneo"
sensibilidad "facultad de sentir"
insulina "hormona polipeptídica formada por 51 aminoácidos"
urticaria "enfermedad de la piel caracterizada por lesiones cutáneas edematosas de contornos delimitados y con un halo eritematoso"
edema "acumulación de líquido en el espacio extracelular o intersticial, además de las cavidades del organismo"
terapia "conjunto de métodos utilizados para la curación de enfermedades y lesiones"
plasma "componente líquido que se encuentra en la sangre"
anticoagulante "sustancia endógena o exógena que interfiere o inhibe la coagulación de la sagre"
diverticulitis "trastorno digestivo consecuencia de una diverticulosis"
trastornos "desajustes en ciertos parámetros que mantienen el equilibrio en un sistema"
enfermedad "alteración del estado fisiológico en una o varias partes del cuerpo"
espectrina "una de las proteinas más importantes del eritrocito"
fagocitosis "tipo de endocitosis por lo cual algunas células rodean con su membrana citoplasmática partículas sólidas"
celulitis "inflamación aguda de los tejidos blandos de la piel, de caracter difuso, doloros y supurativo"
anticuerpos "empleados por el sistema inmunitario para identificar y neutralizar elementos extraños"
potasio "elemento químico de la tabla periódica cuyo símbolo químico es K"
tejidos "materiales biológicos naturales constituidos por un conjunto complejo y organizado de células, de uno o de varios tipos"
malestar "sensación vaga e indefinible del mal funcionamiento orgánico"
sangre "tejido conectivo líquido que circula por capilares, venas y arterias de todos los vertebrados"
sutura "intervención médica en la cual se junta las heridas de la piel, de los organos internos y de los tejidos vasculares"
plaquetas "pequeños fragmentos citoplasmáticos, irregulares, carentes de npucleo que curan heridas"
extracelular "conjunto de materiales extracelulares que forman parte de un tejido"
abscesos "infección e inflamación del tejido del organismo caracterizado por la hinchazón y la acumulación de pus"
enzimas "moléculas de naturaleza proteica que catalizan reacciones químicas"
sepsis "síndrome de anormalidades fisiológicas, patológicas y bioquímicas potencialmente mortal asociadas a una infección"
tuberculosis "infección bacterianacontagiosa que compromete principalmente a los pulmones, pero puede propagarse a otros órganos"
estreptococos "grupo de bacterias formado por cocos gram positivos pertenecientes al filo firmicutes​ y al grupo de las bacterias ácido lácticas"
necrosis "patrón morfológico de la muerte patológica de un conjunto de células o de cualquier tejido en un organismo vivo"
vacunas "preparación biológica que proporciona inmunidad adquirida activa ante una determinada enfermedad"
cistitis "inflamación aguda de la vejiga urinaria, con infección o sin ella"
dosis "cantidad de principio activo de un medicamento, expresado en unidades de volumen o peso por unidad de toma en función de la presentación"
creatinina "producto de desecho del metabolismo normal de los músculos que habitualmente produce el cuerpo en una tasa muy constante"
medicamento "uno o más fármacos integrados en una forma farmacéutica, presentado para expendio y uso industrial o clínico"
inmune "que no puede contraer una determinada enfermedad o ser atacado por un agente infeccioso o tóxico"
virales "agente infeccioso microscópico acelular que solo puede multiplicarse dentro de las células de otros organismos"
orina "líquido acuoso transparente y amarillento, de olor característico"
arterial "es cada uno de los vasos que llevan la sangre desde el corazón hacia los capilares del cuerpo"
cerebro "órgano que centraliza la actividad del sistema nervioso y existe en la mayor parte de los animales"
placenta "órgano efímero que relaciona estrechamente al bebé con su madre satisfaciendo las necesidades del feto durante su desarrollo"
embarazo "período que transcurre entre la implantación del cigoto en el útero, hasta el momento del parto"
dolor "experiencia sensorial y emocional, desagradable, que pueden experimentar todos aquellos seres vivos que disponen de un sistema nervioso"
ligamentos "banda de tejido conjuntivo denso o fibroso muy sólido y elástico que une los huesos entre ellos en el seno de una articulación"
ﬁbrosis "desarrollo en exceso de tejido conectivo fibroso en un órgano o tejido como consecuencia de un proceso reparativo o reactivo"
nervios "conjunto de prolongaciones nerviosas o axones (en ocasiones dendritas) asociadas en fascículos por medio de tejido conjuntivo"
lupus "enfermedad autoinmunitaria, es crónica, caracterizada por un curso cíclico donde se alternan períodos de exacerbaciones y remisiones"
vasos "estructura hueca y tubular que conduce la sangre impulsada por la acción del corazón"
fatiga "es la falta de fuerzas después de realizar un trabajo físico, intelectual o emocional, o por la falta de descanso"
inhibir "interrumpir una función o actividad del organismo temporalmente"
abdomen "cavidad del cuerpo humano situada entre la cara inferior del tórax y la cara superior de la pelvis y las extremidades inferiores"
cuello "Parte del cuerpo que une la cabeza con el tronco"
ligamentos "es una banda de tejido conjuntivo denso o fibroso"
dolor "Percepción que puede ser más o menos intensa"
insuﬁciencia "Falta o escasez de la cantidad que se necesita de una cosa"
laboratorio "Local provisto de aparatos y utensilios para realizar experimentos científicos"
renal "Del riñón o relacionado con él"
órgano "Unidad funcional de un organismo multicelular"
diario "Que ocurre, se hace o se repite cada día"
síndrome "Conjunto de síntomas que se presentan juntos"
asma "Enfermedad del aparato respiratorio"
edad "tiempo transcurrido a partir del nacimiento de un individuo"
membrana "Lámina de tejido orgánico, generalmente flexible y resistente"
evolución "Cambio o transformación gradual de algo"
afección "Enfermedad que se padece en una determinada parte del organismo"
arterial "vasos que llevan la sangre desde el corazón hacia los capilares del cuerpo"
alivio  "Disminución o mitigación de una enfermedad, una pena, una fatiga"
proceso "son mecanismos de comportamiento"
interrogatorio "Acción de interrogar a alguien reiteradamente"
ejercicio "Práctica que sirve para adquirir unos conocimientos o desarrollar una habilidad"
enfermedad "Alteración leve o grave del funcionamiento normal de un organismo"
diagnóstico "Que sirve para reconocer"
patrón "es un tipo de tema de sucesos u objetos recurrentes"
ﬁebre "Aumento de la temperatura del cuerpo por encima de la normal"
piel "Capa de tejido resistente y flexible que cubre y protege el cuerpo del ser humano"
tratamiento "Manera de actuar, de comportarse o de proceder"
masculino "Que tiene órganos para fecundar"
necrosis "Muerte de las células y los tejidos de una zona determinada de un organismo vivo"
antígeno "Sustancia que al introducirse en el organismo"
óseo "Del hueso o relacionado con él"
calcio "es un macromineral"
hueso "Pieza dura y resistente del esqueleto"
mineral "es una sustancia natural, de composición química definida"
sulfametoxazol "Antimicrobiano, bactericida de amplio espectro"
peritonitis "es la inflamacion del peritoneo debido generalmente a una infeccion"
anticardiolipina "es una inmunoglobulina adquirida asociada a la formación de coágulos"
antifosfolípidos "es un agente protrombótico"
necrosis "es el patrón morfológico de la muerte patológica"
eritema "es un término médico dermatológico"
ciclosporina "es un fármaco inmunosupresor ampliamente usado"
acetilsalicílico "es un reconocido analgésico, antiinflamatorio y antipirético"
formoterol "es una fórmula que contiene budesonida y formoterol"
corticoesteroides "son medicamentos muy utilizados"
colagenasas "son unas enzimas"
barotrauma "es el daño al cuerpo"
ceftriaxona "es un antibiótico de la clase cefalosporinas"
sibilancias "son un signo de que una persona"
ictericia "es la coloración amarillenta de la piel"
atelectasia "es la disminución del volumen pulmonar"
biopsia "es la extracción de tejido"
ganglios "Los ganglios linfáticos están presentes a lo largo del cuerpo"
atelectasia "es la disminución del volumen pulmonar"
hepatomegalia "es un aumento patológico del tamaño del hígado"
aminotransferasas "son un conjunto de enzimas del grupo de las"
hiperemesis "Es la presencia de náuseas y vómitos intensos"
preeclampsia "es una enfermedad especifica del embarazo"
tramadol "es un analgésico de tipo opioide que alivia el dolor"
aciclovir "es un fármaco antiviral derivado de la guanosina"
cefalea "o dolor de cabeza"
mononucleosis "se conoce como la enfermedad del beso"
trichiura "es una especie parásita de nematodo"
diloxanida "es un medicamento"
piperazina "se comenzó a usar como un antihelmíntico"
neurocisticercosis "es una enfermedad del sistema nervioso"
betalactamasas "son enzimas capaces de inactivar los antibióticos"
biliares "La vesícula biliar almacena la bilis que el hígado segrega"
embolia "es un coágulo"
trombo "puede producirse en un vaso sanguíneo"
dolens "forma subaguda de la flebitis infecciosa"
hemoptisis "es la expulsión de sangre por la boca mediante la tos"
oclusiva "Que se pronuncia poniendo en contacto"
doppler "es una técnica de imagen utilizada para la exploración de los vasos sanguíneos"
antibiograma "es la prueba microbiológica"
politetraﬂuoroetileno "es un polímero similar al polietileno"
prasugrel "es un medicamento"
abciximab "es un inhibidor de la agregación plaquetaria"
tinzaparina "Medicamento que se usa con otro medicamento llamado warfarina"
warfarina "es un medicamento anticoagulante oral"
primidona "se usa sola o con otros medicamentos"
diltiazem "es el nombre genérico de un medicamento"
anestesia "es la ausencia, ya sea total o parcial, de la sensibilidad"
supraventriculares "es uno de los trastornos del ritmo cardíaco"
ﬂutter "es un trastorno del ritmo cardíaco"
hipoplasia "es una condición congénita"
arritmias "es un trastorno de la frecuencia cardíaca"
engrosamiento "que se agranda o aumenta de volumen"
hipotensora "es el nombre técnico de una baja presión arterial"
eritematoso "es un término médico dermatológico"
ototoxicidad "es el efecto nocivo, reversible o irreversible"
exudado "es líquido que se filtra desde los vasos sanguíneos hacia los tejidos cercanos"
salmonellas "bacterias que son capaces de producir una enfermedad"
prednisona "es un fármaco corticosteroide"
orbitario "son las dos cavidades situadas a ambos lados"
pituitario "una glándula compleja que se encuentra en la base del cráneo"
creatininquinasa "es una enzima dimérica"
brucelosis "Enfermedad infecciosa del ganado caprino vacuno"
pielonefritis "Infección del riñón y de la pelvis renal"
fibromialgia "Enfermedad que se caracteriza por un dolor muscular"
paroxística "Del paroxismo o relacionado con él"
endocarditis "Inflamación del endocardio"
arritmia "es un trastorno de la frecuencia cardíaca"
calcioantagonistas "Fármaco que disminuye el calcio intracelular"
hemoglobina "Pigmento rojo contenido en los hematíes de la sangre"
anamnesia "Conjunto de datos que se recogen en la historia clínica"
pagofagia "es el nombre de la enfermedad por comer hielo"
esferocitosis "es una enfermedad caracterizada por anemia hemolítica"
poiquilocitosis "son glóbulos rojos"
microcitosis "aumento del tamaño de los glóbulos rojos de la sangre"
eliptocitos "es un trastorno que se transmite de padres a hijos"
glicoproteína "son moléculas" 
proteolíticas "le ayudan a digerir las proteínas"
enterohepática "donde los fármacos liberados como glucoconjungados"
metionina "es un aminoácido hidrófobo"
megaloblástica "son un grupo de enfermedades"
mucocutáneas "son manifestaciones comunes de la infección"
eritropoyesis "es el proceso de producción de glóbulos rojos"
ovalocitos "En un análisis hematológico"
megaloblastos "Eritrocito inmaduro, con núcleo voluminoso"
hematocrito "Volumen de glóbulos con relación al total de la sangre"
homocisteína "es un aminoácido azufrado"
metilmalónico "Las concentraciones de ácido metilmalónico"
pepsinógeno "es una proenzima, precursora de la pepsina"
esferocitosis "es una enfermedad caracterizada por anemia hemolítica"
eliptocitosis "es una alteración poco frecuente de la membrana de los eritrocitos"
hemoglobinopatías "generalmente de carácter hereditario"
turricefalia "es decir una modalidad de craneosisnostósis"
Hipofosfatemia "la presencia de niveles bajos de fosfato"
cefalosporinas "son antibióticos del grupo de los beta-lactámicos"
isoniacida "es un fármaco antituberculoso activo"
metildopa "se usa para tratar la hipertensión arterial"
clorpromacina "es un medicamento neuroléptico" 
linfomas "es un conjunto de enfermedades neoplásicas"
haptoglobina "es una proteína plasmática que se une a la hemoglobina"
hemosiderinuria "hemosiderinuria"
hemopexina "es la proteína plasmática con mayor afinidad al grupo hemo"
tejido "combinación definida de elementos anatómicos"
diagnóstico "dícese de los signos que permite reconocer las enfermedades"
crónico "aplícase a las enfermedades muy largas o habituales"
mieloma "crecimiento anormal de las células de la médula roja de los huesos"
litiasis "formación de piedras en algún órgano del cuerpo"
pirosis "sensación de quemadura en el estómago"
disfagia "dificultad para tragar"
etiología "parte de la medicina que estudia las causas de las enfermedades"
feocromocitoma "tumor de la médula suprarrenal de la glándula adrenal"
tumefacción "hinchazón que se forma en una parte del cuerpo"
disnea "ahogo o dificultad en la respiración"
parestesia "sensación anormal debida a un trastorno funcional del sistema nervioso"
hiporreflexia "disminución de las respuestas reflejas"
oliguria "disminución de la producción de orina"
anuria "suspensión de la secreción de orina"
fístula "conexión anormal de dos partes del cuerpo"
fibrosis "formación patológica de tejido fibroso en un órgano del cuerpo"
flogosis "enrojecimiento y calor que caracteriza la inflamación"
testosterona "hormona sexual masculina"
polidactilia "trastorno genético donde un humano nace con más dedos"
dislipidemia "alteración de los niveles de lípidos en la sangre"
coagulacion "proceso por el cual la sangre pierde su liquidez"
orquitis "inflamación de testículo"
bacilo "bacteria de forma cilíndrica alargada"
tórpida "que reacciona con dificultad o torpeza"
edema "hinchazón causada por acumulación de líquido en los tejidos"
demencia "pérdida o debilitamiento de las facultades mentales"
descomprensión "reducción de presión a que ha estado sometido un cuerpo"
urocultivo "prueba para diagnosticar infección urinaria"
anemia "falta de suficientes glóbulos rojos"
aplasia "falta de desarrollo de un tejido o de un órgano"
bacilo "bacteria alargada y cilíndrica"
gluten "proteína de reserva nutritiva"
estenosis "estrechamiento de un orificio o conducto"
psicoterapia "Tratamiento de enfermedades mentales y problemas de conducta media"
glaucoma "aumento de la presión intraocular en el ojo"
suprarrenal "Situado encima de los riñones"
edema "Hinchazón blanda de una parte del cuerpo"
insulina "regula la cantidad de glucosa existente en la sangre"
ictericia "Coloración amarilla de la piel y las mucosas"
aerobios "necesita oxígeno para subsistir"
paresia "Parálisis leve"
micosis "Infección producida por ciertos hongos"
hepatitis "Inflamación del hígado"
treponema "Género de bacterias del grupo de las espiroquetas"
acintados "tiene forma de cinta"
nodular "Perteneciente o relativo a un nódulo"
prurito "Comezón o picazón"
prurito "Comezón o picazón"
etiología "Estudio de las causas de las enfermedades"
hematuria "Presencia de sangre en la orina"
intersticial "ocupa los intersticios que existen en un cuerpo o entre dos o más"
contracción "Acción y efecto de contraer o contraerse"
enzima "Proteína que cataliza específicamente una reacción bioquímica del metal"
sintomático "Perteneciente o relativo al síntoma"
vascular "Perteneciente o relativo a los vasos de las plantas o de los animales"
fisioterapia "Tratamiento y curación de las enfermedades por medio de agentes"
tendinosa "tiene tendones o se compone de ellos"
exacerbación "acción de agravar o avivar una enfermedad"
isquémico "Perteneciente o relativo a la disminución transitoria o permanente"
adinamia "ausencia de movimiento o reacción"
aducción "aproximación del miembro a la linea media"
derm "prefijo que denota relación con la piel o capa germinal"
dermatitis "inflamación de la piel"
escorbuto "enfermedad producida por falta de vitamina C"
estatinas "fármacos hipolipemiantes"
glucosuria "presencia de glucosa en la orina"
glasgow "escala para medir el nivel de conciencia"
hemoptisis "expulsión de sangre por la boca, proveniente de las vías áereas"
hemograma "análisis morfológico y numérico de los elementos formes de la sangre"
mab "anticuerpo monoclonal"
malt "tejido linfoide asociado a las mucosas"
meningitis "inflamación de las meninges"
nasogástrico "que va de la nariz al estómago"
neumotórax "es la presencia de aire en el espacio pleural"
plexo "entrecruzamiento de nervios que tiene lugar bajo la fosa supraclavicular"
sacro "es el plexo constituido por las anastomosis"
rabdomiólisis "destrucción de músculo estriado"
radiografía "placa fotográfica revelada"
uréter "par de conductos que transportan la orina desde la pelvis hasta la vejiga"
urticaria "lesión cutánea edematosa" 
antipiréticos "fármacos eficaces contra la fiebre"
apósito "material terapéutico que se aplica sobre una lesión"
apraxia "movimientos desordenados"
ascitis "es la acumulación de líquido en la cavidad abdominal"
astenia "síntoma por debilidad o falta o pérdida de fuerza o energía"
beriberi "enfermedad producida por falta de tiamina" 
cpap "término médico usado para describir la presión continua en la vía aérea"
cta "clear to auscultation en pulmones, claros al auscultar"
clamidia "Es una enfermedad de transmisión sexual"
﻿absorción "Acción de absorber"
toxico "sustancia Que es venenoso o que puede causar trastornos o la muerte a consecuencia"
eritrocito "Célula de la sangre de forma redonda u ovalada y de color rojo que contiene"
tejido "Conjunto de células de un organismo que tienen la misma función y diferenciación"
cromosomas "cada una de las estructuras altamente organizadas"
citometria "tecnología biofísica basada en la utilización de luz láser, empleada en el recuento"
lesion "daño que ocurre en el cuerpo"
obstruccion "Cierre o estrechamiento de un conducto o un camino que impide o dificultal"
tumoral "Perteneciente o relativo a los tumores"
inmunosupresora "Que causa inmunosupresión"
biopsia "Examen microscópico de un trozo de tejido o una parte de líquido orgánico"
endoscopio "Instrumento para la exploración visual de los conductos o cavidades"
ictericia "Coloración amarillenta de la piel y las mucosas que se produce"
aminotransferasas "conjunto de enzimas del grupo de las transferasas"
disfagia "Dificultad o imposibilidad de tragar"
citoprotectores "grupo de fármacos que tienen la capacidad de proteger"
trombocitopenia "disminución de la cantidad de plaquetas circulantes en el torrente sanguíneo"
tetraciclinas "grupo de antibióticos unos naturales y otros obtenidos por semisíntesis"
enteritis "Inflamación del intestino, especialmente del delgado"
borborigmos "son los sonidos generados por el movimiento de los gases a través de los intestinos"
clorodiazepoxido "agente ansiolítico derivado de las benzodiazepinas"
diverticulosis "son pequeñas bolsas diverticulos que se forman en la pared interna del intestino"
metotrexate "fármaco análogo al ácido fólico usado en el tratamiento del cancer"
heces "Materia compuesta de residuos de alimento que el organismo"
cefalea "Dolor de cabeza intenso y persistente que va acompañado de sensación de pesade"
migraña "Dolor fuerte de cabeza que afecta, generalmente"
vascular "Relativo a los vasos o los conductos por los que circula la sangre u otros líquidos"
difenilhidantoina "es un antiepiléptico de uso común"
autorregulacion "Regulación de uno mismo"
gliosis "cambio reactivo inespecífico de ﻿células gliales ﻿en respuesta al daño a la ﻿sistema"
gastrina "hormona polipeptídica segregada por las glándulas endocrinas"
cognitivas "Perteneciente o relativo al conocimiento"
volitivos "proviene del latín y su traducción está directamente relacionada con el verbo querer"
esquizofrenia "grupo de enfermedades mentales que se caracterizan por alteraciones"
obsesivo "Que se impone en la mente de una persona de forma repetitiva"
benzodiazepinas "medicamentos psicotrópicos con efectos sedantes hipnóticos ansiolíticos"
prematuridad "Nacimiento que se produce antes de la semana treinta y siete del embarazo"
neuropsiquiátricos "Perteneciente a las enfermedades nerviosas y mentale"
neoplasia "Formación anormal en alguna parte del cuerpo de un tejido nuevo de carácter"
ipsilaterales "que se encuentra o tiene lugar en el mismo lado"
dexametasona "potente glucocorticoide sintético con acciones que se asemejan"
enzimatico "De la enzima o que está relacionado con ella"
mononuclear "célula sanguínea caracterizada por poseer un único núcleo redondo"
piodermitis "Lesión cutánea infecciosa con formación de pus y costras"
albumina "Proteína animal y vegetal, rica en azufre y soluble en agua, que constituye"
cateter "dispositivo con forma de tubo estrecho y alargado que puede ser introducido"
hipotensores "sustancia con capacidad de reducir la presión arterial"
carcinoembrionario "glicoproteína que se produce durante el desarrollo fetal"
abdomen "cavidad del cuerpo humano situada entre la cara inferior del torax"
régimen "Control o regulación de la cantidad"
gases "Fluido que tiende a expandirse y que se caracteriza por su baja densidad, como el aire"
cortisol "hormona esteroidea o glucocorticoide producida por la glándula suprarrenal"
costras "ormación cutánea temporal, de color rojo o pardo constituido por plaquetas y sangre"
siﬁlitica "De la sífilis o relacionado con ella"
ganciclovir "antiviral utilizado para el tratamiento de las infecciones causadas por citomegalovirus"
maniﬁestan "accion en plural de manifestar"
contagio "Acción y efecto de contagiar o contagiarse"
Mediante "Por medio de, con, con la ayuda de"
descartables "Que puede o debe ser descartado"
antígeno "Sustancia que al introducirse en el organismo induce"
﻿vitamina "compuestos heterogéneos imprescindibles para la vida"
abdomen "zona del cuerpo humano delimitada entre el tórax por arriba y la pelvis por debajo"
abstinencia "privación por propia voluntad o no de la satisfacción de un placer"
rabia "enfermedad infecciosa del sistema nervioso central"
radio "hueso largo par situado en la parte externa del antebrazo lateral al hueso cúbito"
cabello "pelo de la cabeza"
cabeza "extremidad superior del cuerpo formada por el craneo y la cara"
cara "parte anterior de la cabeza"
tableta "preparado farmaceutico de pequeño tamaño que contiene una cierta algún medicamento"
paralisis "disminución o abolición de la motricidad o de cualquier funcion orgánica"
radiacion "forma de propagacion de la energía"
regular "que se ajusta a la normalidad"
vacio "espacio que no contiene ningún cuerpo ni materia"
vena "vaso destinado a transportar sangre desoxigenada desde los tejidos hacia el corazón"
vertebra "cada una de las formaciones oseas que forman la columna vertebral"
vertebral "relativo a las vertebras"
gamma "tercera letra del alfabeto griego"
gas "estado de la materia en que los cuerpos no tienen forma ni volumen propios"
maduro "que ha alcanzado un desarrollo completo"
masa "conjunto de particulas que forman un cuerpo"
tendon "estructura fibrosa de color blanco y brillante mediante"
tos "liberacion brusca de aire de los pulmones de forma voluntaria o involuntaria"
gen "unidad funcional del material genético que corresponde a un fragmento de dna"
genital "dícese de los organos con función reproductora"
generacion "produccion de un nuevo organismo a partir de individuos ya existentes"
ulcera "pérdida de sustancia de un revestimiento cutáneo o mucoso de un órgano o tejido"
gangrena "es la muerte del tejido"
bacteria "es un pequeño organismo que solo resulte visible con el microscopio"
biopsia "pequeña pieza de tejidos extraído mediante una operación"
fisura "corresponde a un surco, una grieta o una hendidura"
ilusion "es una interpretación errónea de un estímulo sensorial"
nausea "deseao de vomitar, asco"
miopatia "enfermedad del músculo esquelético"
factor "sustancia o elemento que tiene un papel importante en una reaccion o proceso"
tacto "sentido por el que se perciben propiedades físicas externas de los objetos"
taxonomia "ciencia encargada del estudio de los principios, métodos y fines de la clasificación biológica"
terminologia "conjunto de términos o vocablos propios de una profesión o ciencia"
termometro "instrumento que sirve para medir la temperatura"
tic "movimientos rápidos, repetitivos e involuntarios de grupos musculares"
glucosa "Es una forma de azúcar que se encuentra libre en las frutas y en la miel"
grieta "solución de continuidad de la piel o mucosas que suele ser dolorosa y pruriginosa"
fibra "estructura tisular elemental, celular, pluricelular o intercelular, que posee forma alargada"
resistencia "fuerza que se opone al movimiento"
reticula "tejido formado por una estructura en red"
ribonucleico "presente en células eucariotas y procariotas"
reumatologia "especialidad de la medicina que se encarga"
riesgo "contingencia de un daño"
riñon "órganos encargados de filtrar y depurar la sangre y de excretar las sustancias tóxicas"
rotura "desgarro de un órgano o estructura"
baba "saliva abundante y espumosa que sale de la boca"
bilis "sustancia líquida, viscosa, de color verde amarillento, de sabor amargo"
vasculitis "inflamacion de un vaso sanguineo"
extravasación "accion y efecto de salirse un liquido del conducto en donde esta contenido"
colectomía "extirpacion parcial o total del colon"
diverticulitis "inflamación de un divertículo"
broncoespasmo "contracción espasmódica de la musculatura"
calcitonina "hormona hipocalcemiantes que es secretada"
encefalopatía "trastorno cerebral que suelen producirse"
supresión "interrupción de una secreción"
esplacnico "que está relacionado con la región abdominal"
mortalidad " indicador demográfico que establece"
﻿folato "es una vitamina hidrosoluble del complejo de vitaminas "
sensibilidad "facultad de un ser vivo de percibir estímulos externos e internos"
demencia "Pérdida o debilitamiento de las facultades mentales, generalmente grave"
probabilidad "Cualidad de probable o circunstancia de ser algo probable"
eritropoyesis "es el proceso de producción de glóbulos rojos"
procesos "Conjunto de fases sucesivas de un fenómeno o hecho complejo"
anemia "Síndrome que se caracteriza por la disminución anormal del número o tamaño"
hereditaria "De la herencia o que se transmite a través de ella"
frotis "Método de exploración microscópica de un fragmento de tejido o secreción"
fetal "de feto vertebrado vivíparo en desarrollo el cual transcurre desde el momento"
silente "Silencioso"
hemoglobina "Pigmento rojo contenido en los hematíes de la sangre de los vertebrados"
factor "Elemento, circunstancia, influencia, que contribuye a producir un resultado"
tratamiento "Manera de actuar, de comportarse o de proceder una persona en su relación"
enfermedad "Alteración leve o grave del funcionamiento normal de un organismo"
recesivo "Que no se manifiesta en el aspecto exterior de un individuo si el alelo"
aplasia "Falta de desarrollo de un tejido o de un órgano"
benceno "Hidrocarburo líquido a temperatura ordinaria orgánicas"
comienzo "Primer momento de la existencia de una cosa"
sangre "Líquido, de color rojo en los vertebrados que impulsado por el corazón"
plaqueta "Célula de la sangre de los vertebrados pequeña y sin núcleo"
evitar "Impedir que ocurra una cosa desagradable o molesta, especialmente una desgracia"
